CardNo,CardCount,Money
9,50,125.90000000000003
24,2,19.0
48,3,9.399999999999999
56,20,137.0
58,41,140.9
59,9,73.0
72,1,5.5
91,1,9.65
1306,11,55.0
1919,5,38.5
2907,9,67.0
3902,8,28.8
4053,7,71.0
4232,1,10.0
4462,56,190.1
4641,21,95.6
4718,19,41.2
5179,4,24.5
5376,5,19.9
5509,4,10.1
5672,5,30.3
5674,11,86.30000000000001
6124,14,104.0
6145,45,144.7
6194,9,28.8
6195,3,27.5
6227,13,108.0
6318,26,82.4
6446,6,36.5
6665,13,25.499999999999996
6801,13,87.6
7682,2,18.5
8676,1,2.0
8702,34,113.20000000000002
8855,25,61.39999999999999
8947,5,7.4
8984,11,51.699999999999996
8998,14,120.9
9003,17,146.0
9023,4,20.0
9027,47,127.00000000000003
9043,6,32.9
9074,7,35.4
9118,60,235.80000000000004
9145,4,36.0
9242,2,8.0
9287,1,7.0
9358,4,77.0
9373,19,145.0
13621,7,54.5
40457,25,123.69999999999999
42224,5,24.5
42574,36,123.7
51671,6,55.0
51903,7,49.5
52034,113,404.8000000000002
52436,2,9.3
53064,25,102.99999999999999
53341,7,20.200000000000003
53379,49,81.19999999999999
53538,25,158.79999999999998
53565,38,126.20000000000002
53687,2,15.0
53758,4,27.5
53786,1,70.57
53847,23,192.0
54043,22,137.3
62805,21,165.6
63183,45,207.30000000000004
63248,29,198.0
63268,3,7.6
63676,2,20.5
63726,32,183.2
63830,48,206.69999999999996
63844,16,123.5
63964,3,25.0
64005,19,123.0
64031,6,12.299999999999999
64113,65,162.00000000000003
64137,1,3.2
64253,12,31.4
64578,74,113.0
64648,43,133.50000000000003
64655,2,15.0
64661,3,7.9
64663,6,41.0
64689,15,141.0
64774,52,218.59999999999997
64780,89,266.1999999999999
64804,4,26.5
64892,55,190.6
64898,1,7.5
64954,28,46.5
64955,17,39.9
65090,37,168.2
65152,20,111.8
65203,9,27.0
65228,14,117.3
71770,19,161.0
72494,21,117.5
72524,17,121.5
72886,33,56.400000000000006
73325,41,139.7
73785,8,27.1
73860,38,133.5
73862,9,17.4
73951,43,174.5
73952,59,185.7
73958,4,28.0
74021,2,19.0
74083,7,40.0
74200,8,76.5
74281,11,21.400000000000002
74290,37,174.79999999999998
74303,9,70.0
74325,20,153.5
74565,33,90.79999999999998
74731,18,103.7
74830,26,151.8
74870,39,83.60000000000001
75000,3,10.4
75367,22,164.0
75573,5,9.4
75588,2,13.0
75607,3,18.0
75882,11,121.0
75889,29,142.8
75890,16,53.400000000000006
75903,12,108.5
76162,21,152.0
76183,45,167.89999999999998
80251,22,141.9
81308,4,20.4
83969,12,320.0
84000,14,54.5
84051,3,8.4
84231,3,24.0
84364,2,24.0
84427,55,1280.9000000000003
84499,17,130.5
84622,12,87.5
84735,4,40.0
84750,5,41.0
84778,32,134.5
84985,3,101.0
85031,18,31.2
85138,8,20.799999999999997
85493,2,9.0
85504,6,39.6
85580,1,6.0
85676,45,222.8
85681,4,32.0
85684,46,196.70000000000002
85706,7,32.5
85874,109,198.39999999999998
86042,7,17.799999999999997
86233,21,127.8
86254,90,275.29999999999995
86502,11,93.6
86504,74,311.7
86539,18,95.2
86733,24,161.39999999999998
86865,14,73.4
86870,21,132.8
86907,31,147.9
86968,4,5.9
86974,58,198.09999999999997
86977,2,4.5
87018,50,217.4
87156,5,26.0
87171,6,11.1
90541,5,92.2
90709,4,36.0
92064,2,20.0
92306,15,91.9
94066,45,160.2
94179,3,18.0
94336,7,23.0
94934,48,196.49999999999997
95138,7,13.3
95284,20,144.6
95321,77,236.9
95465,76,339.8
95502,18,114.5
95539,8,86.0
95661,10,24.4
95819,6,57.00000000000001
95893,1,214.3
95927,10,80.0
95958,16,82.1
96026,5,13.2
96031,16,61.699999999999996
96154,16,114.0
96264,46,112.39999999999999
96285,36,93.6
96359,10,17.2
96419,2,4.2
96439,8,76.0
96475,20,93.5
96523,59,176.0
96537,20,112.1
96545,24,191.5
96828,23,32.1
96950,2,22.0
97090,35,203.70000000000002
97101,19,120.80000000000001
97196,10,58.1
97253,9,24.599999999999998
97258,4,21.0
120589,18,125.0
121881,1,7.35
122146,9,24.5
123081,17,49.699999999999996
123820,68,147.90000000000006
124105,28,98.80000000000001
124145,27,99.8
124655,35,185.8
124672,43,189.9
124674,45,228.8
124687,20,141.0
124763,18,172.0
124834,30,98.39999999999998
124954,22,148.5
125054,1,7.35
125218,3,16.0
125353,1,8.5
125503,2,14.7
125509,1,7.35
125520,160,452.1000000000004
125526,25,137.0
125545,16,42.4
125554,7,32.5
125559,12,85.5
125641,7,53.5
125656,23,165.6
125658,2,13.6
125659,2,18.0
125667,15,56.2
125678,10,74.5
125686,12,80.0
125718,35,172.10000000000002
125754,32,147.5
125787,7,55.5
125802,8,50.0
125837,5,29.7
125928,6,33.9
125978,15,134.0
125990,2,14.7
126011,10,54.0
126038,74,209.0999999999999
126204,32,89.4
126247,10,75.5
126281,1,7.35
126324,15,127.0
126386,2,8.5
126428,90,369.7
126442,70,186.79999999999998
126469,6,53.5
126473,10,68.8
126474,56,183.8
126489,24,179.3
126511,19,50.099999999999994
126539,11,72.9
126564,73,257.99999999999994
126568,34,129.70000000000005
126597,6,36.0
126639,47,199.99999999999997
126714,17,131.7
126757,12,77.6
126780,14,80.3
126794,5,25.0
126820,1,7.35
126825,18,128.5
126834,13,53.6
126854,23,63.900000000000006
126985,20,95.10000000000001
127014,8,43.1
127120,14,111.9
127301,17,109.0
127304,7,22.799999999999997
127311,71,233.2
127329,20,105.4
127330,1,0.6
127339,5,42.0
127341,8,23.799999999999997
127453,37,120.50000000000003
127475,18,157.5
130344,4,29.4
130457,1,7.35
130587,1,7.65
131473,2,14.7
131487,1,7.35
132229,1,7.35
132322,15,103.0
132465,1,2.0
132872,1,7.35
133468,1,7.35
133527,1,7.35
133761,1,7.35
134017,1,7.35
134229,1,7.35
134278,1,7.35
140131,1,7.35
140222,16,170.0
140473,4,25.0
140481,26,112.39999999999998
141831,83,512.9000000000001
142247,1,7.35
142386,1,7.35
